Fecha,num_atascos
2024-03-31 15:27:00,8
2024-03-31 15:57:00,6
2024-03-31 16:27:00,11
2024-03-31 16:57:00,6
2024-03-31 17:27:00,9
2024-03-31 17:57:00,11
2024-03-31 18:27:00,7
2024-03-31 18:57:00,6
2024-03-31 19:27:00,8
2024-03-31 20:27:00,3
2024-03-31 20:57:00,3
2024-03-31 21:27:00,1
2024-03-31 21:57:00,1
2024-03-31 22:27:00,1
2024-04-01 00:57:00,1
2024-04-01 01:27:00,1
2024-04-01 01:57:00,1
2024-04-01 05:57:00,1
2024-04-01 06:27:00,1
2024-04-01 06:57:00,14
2024-04-01 07:27:00,5
2024-04-01 07:57:00,11
2024-04-01 08:27:00,7
2024-04-01 08:57:00,2
2024-04-01 09:27:00,4
2024-04-01 09:57:00,6
2024-04-01 10:27:00,10
2024-04-01 10:57:00,13
2024-04-01 11:27:00,9
2024-04-01 11:57:00,11
2024-04-01 12:27:00,17
2024-04-01 12:57:00,8
2024-04-01 13:27:00,8
2024-04-01 13:57:00,18
2024-04-01 14:27:00,20
2024-04-01 14:57:00,17
2024-04-01 15:27:00,10
2024-04-01 15:57:00,14
2024-04-01 16:27:00,23
2024-04-01 16:57:00,18
2024-04-01 17:27:00,20
2024-04-01 17:57:00,19
2024-04-01 18:27:00,31
2024-04-01 18:57:00,13
2024-04-01 19:27:00,9
2024-04-01 19:57:00,5
2024-04-01 20:27:00,1
2024-04-01 22:27:00,2
2024-04-01 22:57:00,2
2024-04-02 05:57:00,1
2024-04-02 06:27:00,1
2024-04-02 06:57:00,13
2024-04-02 07:27:00,11
2024-04-02 07:57:00,10
2024-04-02 08:27:00,9
2024-04-02 08:57:00,8
2024-04-02 09:27:00,11
2024-04-02 09:57:00,8
2024-04-02 10:27:00,7
2024-04-02 10:57:00,9
2024-04-02 11:27:00,10
2024-04-02 11:57:00,18
2024-04-02 12:27:00,26
2024-04-02 12:57:00,18
2024-04-02 13:27:00,15
2024-04-02 13:57:00,17
2024-04-02 14:27:00,19
2024-04-02 14:57:00,20
2024-04-02 15:27:00,18
2024-04-02 15:57:00,19
2024-04-02 16:27:00,19
2024-04-02 16:57:00,24
2024-04-02 17:27:00,15
2024-04-02 17:57:00,25
2024-04-02 18:27:00,31
2024-04-02 18:57:00,12
2024-04-02 19:27:00,8
2024-04-02 19:57:00,2
2024-04-02 20:27:00,7
2024-04-02 20:57:00,5
2024-04-02 21:27:00,3
